trial_id,ingredient_name,amount,unit
6,Instant Yeast,1,teaspoon
6,King Arthur Unbleached Bread Flour,1 3/4, cups 
6,King Arthur Unbleached Cake Flour,2/3,cup
6,Milk (cold or room temperature),1,cup
6,Granulated Sugar,1,tablespoon
6,Unsalted Butter (at room temperature),1,tablespoon
6,Salt or Red Miso,1,teaspoon 
7,King Arthur Unbleached Bread Flour,200,g
7,cake flour,60,g
7,water,182 1/2,g
7,sugar,13,g
7,salt,5,g
7,non-fat milk powder,15,g
7,unsalted butter (straight from fridge),20,g
7,instant dry yeast,3 1/2,g
7,butter chunks,12 x 15,g
7,pretzel salt,na,na
9,King Arthur Unbleached Bread Flour,400,g
9,Cake Flour,100,g
9,water,330,g
9,non-fat milk powder,30,g
9,Granulated Sugar,30,g
9,Unsalted Butter (at room temperature),30,g
9,instant dry yeast,6,g
9,Salt or Red Miso,10,g
10,King Arthur Unbleached Bread Flour,200,g
10,Cake Flour,50,g
10,water,165,g
10,non-fat milk powder,15,g
10,Granulated Sugar,15,g
10,Unsalted Butter (at room temperature),15,g
10,instant dry yeast,3,g
10,Salt or Red Miso,5,g
11,King Arthur Unbleached Bread Flour,200,g
11,Cake Flour,50,g
11,water,165,g
11,non-fat milk powder,15,g
11,Granulated Sugar,15,g
11,Unsalted Butter (at room temperature),15,g
11,instant dry yeast,3,g
11,Salt or Red Miso,5,g


